scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,net_change,lcl,ucl,prop_change
scenario1_restoration,Agricultural Livelihoods,NA,Agricultural Jobs,FTE/yr,-55.45489538302763,-460.36906240734777,349.4592716412925,-0.022060555720213156
scenario1_restoration,Agricultural Livelihoods,NA,Annual Wages,USD/FTE,-29.34016156436701,-1764.9711004877738,1706.2907773590398,-7.576182489650132e-4
scenario1_restoration,Agricultural Livelihoods,NA,Gross Production Value,USD/yr,-16869161.008942127,-75000196.08498295,41261874.06709869,-0.020709579684465004
scenario1_restoration,Climate Change Resilience,NA,Drought,"qualitative score, 1-10",-0.06731929096291989,-0.2145260655046774,0.07988748357883763,-0.011972427803819755
scenario1_restoration,Climate Change Resilience,NA,Flood,"qualitative score, 1-10",0.06392050085859147,-0.08944634649812724,0.21728734821531018,0.01083246644529122
scenario1_restoration,Climate Change Resilience,NA,Heat,"qualitative score, 1-10",0.0014944338003024527,-0.16798907955343165,0.17097794715403655,2.153257203436831e-4
scenario1_restoration,Water Quality,NA,Critical Pesticides,kg/yr,-3076.5071761777654,-30740.96932217614,24587.95496982061,-0.024527513330409367
scenario1_restoration,Water Quality,NA,Groundwater Contaminant,kg/yr,-258.2149067129976,-6236.724911829616,5720.295098403621,-0.01590055896456652
scenario1_restoration,Water Quality,NA,N loading,kg/yr,-520979.2180230953,NA,NA,-0.023171924677398897
scenario1_restoration,Water Quality,NA,Risk to Aquatic Organisms,kg/yr,-10424.848788750009,-57332.42844602533,36482.730868525316,-0.02653546555975569
scenario2_perennialexpand,Agricultural Livelihoods,NA,Agricultural Jobs,FTE/yr,475.68154076618566,-41.95099881766134,993.3140803500327,0.18923124933639288
scenario2_perennialexpand,Agricultural Livelihoods,NA,Annual Wages,USD/FTE,-239.564497358675,-1919.5371899599281,1440.4081952425781,-0.006186006665467337
scenario2_perennialexpand,Agricultural Livelihoods,NA,Gross Production Value,USD/yr,141913198.72329104,68301026.33430842,215525371.11227366,0.17422103539585676
scenario2_perennialexpand,Climate Change Resilience,NA,Drought,"qualitative score, 1-10",-0.2115274958697606,-0.3629406028250577,-0.060114388914463496,-0.03761919706222715
scenario2_perennialexpand,Climate Change Resilience,NA,Flood,"qualitative score, 1-10",-0.06777176104299709,-0.22376379300058474,0.08822027091459056,-0.011485131023310599
scenario2_perennialexpand,Climate Change Resilience,NA,Heat,"qualitative score, 1-10",-0.25307725334967124,-0.42859117278257647,-0.07756333391676601,-0.03646467435967382
scenario2_perennialexpand,Water Quality,NA,Critical Pesticides,kg/yr,3568.0521136803727,-23318.398314454338,30454.502541815084,0.0284463649100339
scenario2_perennialexpand,Water Quality,NA,Groundwater Contaminant,kg/yr,2496.2386121406835,-3446.4047307303554,8438.881955011722,0.15371532862774376
scenario2_perennialexpand,Water Quality,NA,N loading,kg/yr,-451049.0515501909,NA,NA,-0.020061596099731387
scenario2_perennialexpand,Water Quality,NA,Risk to Aquatic Organisms,kg/yr,49125.489457760705,123.70680562549387,98127.27210989592,0.12504428217887414
scenario2_perennialexpand_alt,Agricultural Livelihoods,NA,Agricultural Jobs,FTE/yr,444.14404590254117,-56.702507260086634,944.9905990651689,0.17668529360227928
scenario2_perennialexpand_alt,Agricultural Livelihoods,NA,Annual Wages,USD/FTE,-239.25636908930028,-1920.2942163822515,1441.781478203651,-0.00617805021303308
scenario2_perennialexpand_alt,Agricultural Livelihoods,NA,Gross Production Value,USD/yr,137111761.6392238,65825040.4665494,208398482.81189823,0.168326507277966
scenario2_perennialexpand_alt,Climate Change Resilience,NA,Drought,"qualitative score, 1-10",-0.19604040519347699,-0.34778356574158686,-0.044297244645367106,-0.03486488886377708
scenario2_perennialexpand_alt,Climate Change Resilience,NA,Flood,"qualitative score, 1-10",-0.06749314991471778,-0.2239021128457906,0.08891581301635504,-0.011437915409261404
scenario2_perennialexpand_alt,Climate Change Resilience,NA,Heat,"qualitative score, 1-10",-0.24815072088748025,-0.42383749950597044,-0.07246394226899006,-0.035754834184081485
scenario2_perennialexpand_alt,Water Quality,NA,Critical Pesticides,kg/yr,3527.482811398295,-23381.147709109955,30436.113331906545,0.028122925358117973
scenario2_perennialexpand_alt,Water Quality,NA,Groundwater Contaminant,kg/yr,2940.6467306988834,-3018.2224639113147,8899.515925309082,0.18108143844463698
scenario2_perennialexpand_alt,Water Quality,NA,N loading,kg/yr,-522632.3027542867,NA,NA,-0.023245449980427064
scenario2_perennialexpand_alt,Water Quality,NA,Risk to Aquatic Organisms,kg/yr,44238.54328956921,-4317.304011439774,92794.39059057819,0.1126050234072393
scenario3_combo,Agricultural Livelihoods,NA,Agricultural Jobs,FTE/yr,367.4180388105392,-136.85155812165164,871.68763574273,0.1461628601371786
scenario3_combo,Agricultural Livelihoods,NA,Annual Wages,USD/FTE,-252.4030969890955,-1934.5181642134676,1429.7119702352766,-0.00651752349606908
scenario3_combo,Agricultural Livelihoods,NA,Gross Production Value,USD/yr,108518325.4005506,36761830.78499855,180274820.01610267,0.13322351395639082
scenario3_combo,Climate Change Resilience,NA,Drought,"qualitative score, 1-10",-0.2621886406938607,-0.4114301927613093,-0.11294708862641212,-0.04662904981304536
scenario3_combo,Climate Change Resilience,NA,Flood,"qualitative score, 1-10",0.011844003545808945,-0.14201027876085423,0.16569828585247212,0.002007177185168145
scenario3_combo,Climate Change Resilience,NA,Heat,"qualitative score, 1-10",-0.22512168615011152,-0.39883426247553044,-0.0514091098246926,-0.03243669222781682
scenario3_combo,Water Quality,NA,Critical Pesticides,kg/yr,-398.9487839996873,-27015.016781719965,26217.11921372059,-0.003180626943916328
scenario3_combo,Water Quality,NA,Groundwater Contaminant,kg/yr,1927.3678330400053,-3952.3134326563904,7807.049098736401,0.11868496000397168
scenario3_combo,Water Quality,NA,N loading,kg/yr,-1022764.8234408237,NA,NA,-0.045490162815694776
scenario3_combo,Water Quality,NA,Risk to Aquatic Organisms,kg/yr,32775.15594516817,-15413.392566883049,80963.70445721938,0.083426056283634
scenario3_combo_alt,Agricultural Livelihoods,NA,Agricultural Jobs,FTE/yr,342.04825972036997,-147.86834721971326,831.9648666604533,0.13607048828501805
scenario3_combo_alt,Agricultural Livelihoods,NA,Annual Wages,USD/FTE,-252.35717415430554,-1935.2681836891281,1430.553835380517,-0.006516337681955386
scenario3_combo_alt,Agricultural Livelihoods,NA,Gross Production Value,USD/yr,104281805.76139021,34515879.70249355,174047731.82028687,0.12802251190267366
scenario3_combo_alt,Climate Change Resilience,NA,Drought,"qualitative score, 1-10",-0.24916505932059074,-0.39864956692397535,-0.09968055171720616,-0.04431286546962245
scenario3_combo_alt,Climate Change Resilience,NA,Flood,"qualitative score, 1-10",0.011390217809848835,-0.14278629137385881,0.16556672699355648,0.0019302751163152384
scenario3_combo_alt,Climate Change Resilience,NA,Heat,"qualitative score, 1-10",-0.22135164990315292,-0.39516816955523465,-0.0475351302510712,-0.03189348598446642
scenario3_combo_alt,Water Quality,NA,Critical Pesticides,kg/yr,-295.00082170029054,-26932.46686050039,26342.46521709981,-0.002351899791673851
scenario3_combo_alt,Water Quality,NA,Groundwater Contaminant,kg/yr,2337.767511281667,-3556.321871873367,8231.8568944367,0.1439568715523385
scenario3_combo_alt,Water Quality,NA,N loading,kg/yr,-1084482.7706832662,NA,NA,-0.048235231285359066
scenario3_combo_alt,Water Quality,NA,Risk to Aquatic Organisms,kg/yr,28681.904712981835,-19130.28158271849,76494.09100868215,0.07300707282400613
scenario1_restoration,Climate Change Resilience,NA,Landscape diversity,Shannon index,0.70543180725738,NA,NA,0.043324860339765466
scenario2_perennialexpand,Climate Change Resilience,NA,Landscape diversity,Shannon index,-0.12910498042865726,NA,NA,-0.00792912254408587
scenario2_perennialexpand_alt,Climate Change Resilience,NA,Landscape diversity,Shannon index,-0.07270641151876234,NA,NA,-0.004465343201779677
scenario3_combo,Climate Change Resilience,NA,Landscape diversity,Shannon index,0.6680439040570967,NA,NA,0.04102864167215733
scenario3_combo_alt,Climate Change Resilience,NA,Landscape diversity,Shannon index,0.7261511194026085,NA,NA,0.04459735939040795
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,NA,3696.84,1961.604,5223.3727499999995,0.8449417863166989
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,NA,2944.08,1506.21525,6668.887500000001,0.9067775467775467
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,NA,4525.919999999998,1994.6025,5726.81925,0.10823072635196934
